ontology,label,definition,internal_id,accuracy,internal_consistency,score,confidence,notes,is_a,relationships,evaluator,
cl,mucus secreting cell of tracheobronchial tree submucosal gland,A mucus secreting cell that is part of a tracheobronchial submucosal gland.,336,5.0,,4.0,3,,ExocrineCell | MucusSecretingCell | EpithelialCellOfTracheobronchialTree,"{'predicate': 'PartOf', 'target': 'AirwaySubmucosalGland'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,mucus secreting cell of tracheobronchial tree submucosal gland,A mucus secreting cell that is part of the tracheobronchial tree and the airway submucosal gland.,337,5.0,,4.0,3,,ExocrineCell | MucusSecretingCell | EpithelialCellOfTracheobronchialTree,"{'predicate': 'PartOf', 'target': 'AirwaySubmucosalGland'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,mucus secreting cell of tracheobronchial tree submucosal gland,A mucus secreting cell that is part of the tracheobronchial tree submucosal gland.,338,5.0,,4.0,3,,ExocrineCell | MucusSecretingCell | EpithelialCellOfTracheobronchialTree,"{'predicate': 'PartOf', 'target': 'AirwaySubmucosalGland'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,mucus secreting cell of tracheobronchial tree submucosal gland,A mucus-secreting cell that is part of a tracheobronchial tree submucosal gland.,340,5.0,,4.0,3,,ExocrineCell | MucusSecretingCell | EpithelialCellOfTracheobronchialTree,"{'predicate': 'PartOf', 'target': 'AirwaySubmucosalGland'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD4-positive, alpha-beta T cell","A CD4-positive, alpha-beta T cell that has differentiated into a memory T cell and is located in the lung.",342,5.0,,5.0,3,,CD4Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD4-positive, alpha-beta T cell",An alpha-beta CD4 T cell that resides in the lung.,343,5.0,,4.0,3,,CD4Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD4-positive, alpha-beta T cell","A CD4-positive, alpha-beta T cell that has differentiated into a memory T cell and is resident in the lung.",344,5.0,,4.0,3,,CD4Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD4-positive, alpha-beta T cell","A CD4-positive, alpha-beta T cell that has differentiated into a memory T cell and resides in the lung.",345,5.0,,4.0,3,,CD4Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD4-positive, alpha-beta T cell","A CD4-positive, alpha-beta memory T cell that resides in the lung.",346,5.0,,4.0,3,,CD4Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD4-positive, alpha-beta T cell","A lung resident memory CD4-positive, alpha-beta T cell is a specialized type of immune cell that resides within the lung tissue and exhibits specific characteristics. It is identified by the presence of CD4 receptors on its surface and belongs to the alpha-beta T cell subset, a major type of T cells involved in adaptive immune responses.",348,5.0,,5.0,3,,CD4Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD4-positive, alpha-beta T cell","A lung resident memory CD4-positive, alpha-beta T cell is a type of a T cell that resides in the lung tissue. It is characterized by the expression of CD4 molecules and alpha-beta T cell receptor. This cell type is involved in retaining memory of past pathogenic invasions, thus contributing to a faster and more effective immune response upon re-exposure to the same pathogen.",349,5.0,,5.0,3,,CD4Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD4-positive, alpha-beta T cell","A lung resident memory CD4-positive, alpha-beta T cell that is differentiated into a memory T cell.",350,5.0,,4.0,3,,CD4Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD4-positive, alpha-beta T cell","An alpha-beta CD4 T cell that resides in the lung. This cell expresses the resident marker CD69 and has the effector/memory phenotype, high CD44 (hyaluronic acid receptor) expression and low CD62L expression. A lung resident memory CD4-positive, alpha-beta T cell upregulates specific genes associated with tissue residency and downregulates genes associated with circulation and migration.",351,5.0,,5.0,3,,CD4Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, alpha-beta T cell","A CD8-positive, alpha-beta T cell that has differentiated into a memory T cell and is a part of the lung.",352,5.0,,4.0,3,,CD8Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, alpha-beta T cell",An alpha-beta CD8 T cell that resides in the lung.,353,5.0,,4.0,3,,CD8Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, alpha-beta T cell","A CD8-positive, alpha-beta T cell that resides in the lung and has differentiated into a memory T cell.",354,5.0,,4.0,3,,CD8Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, alpha-beta T cell","A CD8-positive, alpha-beta memory T cell that resides in the lung.",355,5.0,,4.0,3,,CD8Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, alpha-beta T cell","A CD8-positive, alpha-beta memory T cell that resides within the lung tissue and plays a role in the immune response.",357,5.0,,4.0,3,,CD8Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, alpha-beta T cell","A lung resident memory CD8-positive, alpha-beta T cell is a specialized subtype of T lymphocyte that resides in the lung tissues. They express the cell surface marker CD8 and alpha-beta T-cell receptors. These cells have a memory phenotype, enabling a rapid and robust immune response upon recognition of previously encountered antigens, contributing to protective immunity in the respiratory system.",358,5.0,,5.0,3,,CD8Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, alpha-beta T cell","A lung resident memory CD8-positive, alpha-beta T cell that is part of the lung.",359,5.0,,4.0,3,,CD8Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, alpha-beta T cell","A lung resident memory CD8-positive, alpha-beta T cell that plays a crucial role in the defense and surveillance of the lungs.",360,5.0,,4.0,3,,CD8Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, alpha-beta T cell","An alpha-beta CD8 T cell that resides in the lung. This cell expresses the resident marker CD69 and has the effector/memory phenotype, high CD44 (hyaluronic acid receptor) expression and low CD62L expression. A lung resident memory CD8-positive, alpha-beta T cell upregulates specific genes associated with tissue residency and downregulates genes associated with circulation and migration.",361,5.0,,5.0,3,,CD8Positive_alphaBetaMemoryTCell,"{'predicate': 'PartOf', 'target': 'Lung'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, CD103-positive, alpha-beta T cell","A CD8-positive, alpha-beta T cell that is resident in the lung and expresses CD103 on its plasma membrane.",362,5.0,,4.0,3,,LungResidentMemoryCD8Positive_alphaBetaTCell,"{'predicate': 'HasPlasmaMembranePart', 'target': 'IntegrinAlphaE'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, CD103-positive, alpha-beta T cell","A lung resident memory CD8-positive, alpha-beta T cell that is CD103-positive.",363,5.0,,4.0,3,,LungResidentMemoryCD8Positive_alphaBetaTCell,"{'predicate': 'HasPlasmaMembranePart', 'target': 'IntegrinAlphaE'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, CD103-positive, alpha-beta T cell",A lung resident memory CD8-alpha-beta T cell that has the phenotype of being CD103-positive.,364,5.0,,4.0,3,,LungResidentMemoryCD8Positive_alphaBetaTCell,"{'predicate': 'HasPlasmaMembranePart', 'target': 'IntegrinAlphaE'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, CD103-positive, alpha-beta T cell","A lung resident memory CD8-positive, CD103-positive, alpha-beta T cell is a subclass of the Lung Resident Memory CD8 Positive alpha Beta T-cell, characterized by its CD8 and CD103 positive status.",365,5.0,,4.0,3,,LungResidentMemoryCD8Positive_alphaBetaTCell,"{'predicate': 'HasPlasmaMembranePart', 'target': 'IntegrinAlphaE'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, CD103-positive, alpha-beta T cell","A lung resident memory CD8-positive, CD103-positive, alpha-beta T cell is a type of resident memory T cell that is situated in the lung tissue. It is characterized by the expression of the surface markers CD8 and CD103, as well as an alpha-beta T cell receptor. These cells play a vital role in the body's immune response by rapidly providing local immunity to previously encountered antigens in the lung.",366,5.0,,5.0,3,,LungResidentMemoryCD8Positive_alphaBetaTCell,"{'predicate': 'HasPlasmaMembranePart', 'target': 'IntegrinAlphaE'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, CD103-positive, alpha-beta T cell","A lung resident memory CD8-positive, CD103-positive, alpha-beta T cell that has integrin alpha-E as a plasma membrane part.",367,5.0,,4.0,3,,LungResidentMemoryCD8Positive_alphaBetaTCell,"{'predicate': 'HasPlasmaMembranePart', 'target': 'IntegrinAlphaE'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, CD103-positive, alpha-beta T cell","A lung resident memory CD8-positive, CD103-positive, alpha-beta T cell.",368,5.0,,4.0,3,,LungResidentMemoryCD8Positive_alphaBetaTCell,"{'predicate': 'HasPlasmaMembranePart', 'target': 'IntegrinAlphaE'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,"lung resident memory CD8-positive, CD103-positive, alpha-beta T cell","A lung resident memory CD8-positive, alpha-beta T cell that has the phenotype of being CD103-positive and expressing IntegrinAlphaE on its plasma membrane.",370,5.0,,4.0,3,,LungResidentMemoryCD8Positive_alphaBetaTCell,"{'predicate': 'HasPlasmaMembranePart', 'target': 'IntegrinAlphaE'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,CCL3-positive alveolar macrophage,"A CCL3-positive alveolar macrophage is a type of alveolar macrophage found in the pulmonary system that produces CCL3, a chemokine involved in immune responses. This macrophage plays a critical role in maintaining lung homeostasis, and its functionality extends to phagocytosis and antigen presentation.",372,5.0,,5.0,3,,AlveolarMacrophage,"{'predicate': 'Expresses', 'target': 'CCMotifChemokine3'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,CCL3-positive alveolar macrophage,An alveolar macrophage that expresses CCL3.,373,5.0,,4.0,3,,AlveolarMacrophage,"{'predicate': 'Expresses', 'target': 'CCMotifChemokine3'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,CCL3-positive alveolar macrophage,"A specialized immune cell located in the alveoli of the lungs, playing a role in the immune response by expressing C-C motif chemokine 3 (CCL3) to signal other immune cells to migrate to the lungs.",374,5.0,,5.0,3,,AlveolarMacrophage,"{'predicate': 'Expresses', 'target': 'CCMotifChemokine3'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,CCL3-positive alveolar macrophage,"A subclass of alveolar macrophages that express the protein CCMotifChemokine3 (CCL3) on their surface, enabling them to attract other immune cells to the site of inflammation.",375,5.0,,5.0,3,,AlveolarMacrophage,"{'predicate': 'Expresses', 'target': 'CCMotifChemokine3'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,CCL3-positive alveolar macrophage,An alveolar macrophage that expresses C-C motif chemokine 3 (CCL3).,376,5.0,,4.0,3,,AlveolarMacrophage,"{'predicate': 'Expresses', 'target': 'CCMotifChemokine3'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,CCL3-positive alveolar macrophage,An alveolar macrophage that expresses CCL3 chemokine.,377,5.0,,4.0,3,,AlveolarMacrophage,"{'predicate': 'Expresses', 'target': 'CCMotifChemokine3'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,metallothionein-positive alveolar macrophage,"A metallothionein-positive alveolar macrophage is a type of alveolar macrophage located in the lungs that express metallothionein, a protein known for its high cysteine content and involved in metal ion detoxification, regulation of cell proliferation and protection against oxidative stress and free radicals.",382,5.0,,5.0,3,,AlveolarMacrophage,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,metallothionein-positive alveolar macrophage,An alveolar macrophage that expresses metallothionein.,383,5.0,,4.0,3,,AlveolarMacrophage,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,metallothionein-positive alveolar macrophage,"A specialized type of alveolar macrophage that has a positive response to metallothionein, a family of proteins capable of binding heavy metals. They are part of the immune system, particularly in the lungs where they reside in the alveoli, and protect the lungs from harmful metal pollutants.",384,5.0,,5.0,3,,AlveolarMacrophage,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,metallothionein-positive alveolar macrophage,An alveolar macrophage that expresses metallothionein protein.,385,5.0,,4.0,3,,AlveolarMacrophage,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,metallothionein-positive alveolar macrophage,"An alveolar macrophage that expresses metallothionein proteins within its cellular environment. Metallothionein-positive alveolar macrophages possess all the general characteristics and functions of alveolar macrophages, with the added ability to regulate metal ions, detoxify heavy metals, protect against oxidative stress, and modulate immune responses.",386,5.0,,5.0,3,,AlveolarMacrophage,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,metallothionein-positive alveolar macrophage,An alveolar macrophage that expresses the protein metallothionein.,390,5.0,,4.0,3,,AlveolarMacrophage,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,metallothionein-positive alveolar macrophage,An alveolar macrophage that is characterized by the presence of metallothionein.,391,5.0,,4.0,3,,AlveolarMacrophage,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung interstitial macrophage,"A lung interstitial macrophage is a type of immune cell localized within the lung tissue’s interstitium. It plays a crucial role in maintaining tissue homeostasis, monitoring the interstitial environment, and facilitating the body's response to pathogens and foreign substances. It exhibits characteristics of antigen-presenting cells and is involved in both innate and adaptive immune responses.",392,5.0,,5.0,3,,TissueResidentMacrophage | ConnectiveTissueCell | LungMacrophage,"{'predicate': 'PartOf', 'target': 'LungConnectiveTissue'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung interstitial macrophage,A macrophage that is part of the lung connective tissue (pulmonary interstitium). This cell performs tissue remodeling and contributes to barrier immunity through antigen presentation.,393,5.0,,5.0,3,,TissueResidentMacrophage | ConnectiveTissueCell | LungMacrophage,"{'predicate': 'PartOf', 'target': 'LungConnectiveTissue'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung interstitial macrophage,A macrophage located within the connective tissue of the lung.,394,5.0,,4.0,3,,TissueResidentMacrophage | ConnectiveTissueCell | LungMacrophage,"{'predicate': 'PartOf', 'target': 'LungConnectiveTissue'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung interstitial macrophage,A macrophage that is part of the connective tissue in a lung.,395,5.0,,4.0,3,,TissueResidentMacrophage | ConnectiveTissueCell | LungMacrophage,"{'predicate': 'PartOf', 'target': 'LungConnectiveTissue'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung interstitial macrophage,"A specific type of immune cell found within the lung connective tissue, belonging to the broader category of tissue-resident macrophages and connective tissue cells. Lung interstitial macrophages play a crucial role in maintaining lung health and function by patrolling the lung interstitium.",398,5.0,,5.0,3,,TissueResidentMacrophage | ConnectiveTissueCell | LungMacrophage,"{'predicate': 'PartOf', 'target': 'LungConnectiveTissue'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung interstitial macrophage,"A subset of tissue resident macrophages, a type of connective tissue cell and a subclass of lung macrophages, located specifically in the lung connective tissue. They play a role in tissue homeostasis, inflammation, and immune response.",399,5.0,,5.0,3,,TissueResidentMacrophage | ConnectiveTissueCell | LungMacrophage,"{'predicate': 'PartOf', 'target': 'LungConnectiveTissue'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung interstitial macrophage,A tissue macrophage that is resident in the interstitial space of the lung.,400,5.0,,4.0,3,,TissueResidentMacrophage | ConnectiveTissueCell | LungMacrophage,"{'predicate': 'PartOf', 'target': 'LungConnectiveTissue'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung interstitial macrophage,Macrophages that reside within the interstitial space of the lung.,401,5.0,,4.0,3,,TissueResidentMacrophage | ConnectiveTissueCell | LungMacrophage,"{'predicate': 'PartOf', 'target': 'LungConnectiveTissue'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,deuterosomal cell,A cell that is part of the respiratory tract epithelium.,402,5.0,,4.0,3,,RespiratoryEpithelialCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,deuterosomal cell,"An epithelial cell part of respiratory tract epithelium that is a precursor of a multi-ciliated cell. This cell actively amplifies centrioles, a required step for multiciliogenesis.",403,5.0,,5.0,3,,RespiratoryEpithelialCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,deuterosomal cell,"A deuterosomal cell is a cell type primarily associated with the process of centriole duplication, characterized by the presence of deuterosomes which serve as a platform for new centriole assembly. These cells are typically found in multiciliated epithelia during ciliogenesis.",404,5.0,,5.0,3,,RespiratoryEpithelialCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,deuterosomal cell,A deuterosomal cell is part of the respiratory tract epithelium and is a subclass of respiratory epithelial cell.,405,5.0,,4.0,3,,RespiratoryEpithelialCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,deuterosomal cell,"A multiciliated cell precursor that is part of the respiratory tract epithelium. This cell actively amplifies centrioles, a required step for multiciliogenesis.",406,5.0,,5.0,3,,RespiratoryEpithelialCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,deuterosomal cell,A respiratory epithelial cell that is part of the respiratory tract [Automatically generated definition].,407,5.0,,4.0,3,,RespiratoryEpithelialCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,deuterosomal cell,A respiratory epithelial cell that is part of the respiratory tract epithelium.,408,5.0,,4.0,3,,RespiratoryEpithelialCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,deuterosomal cell,A respiratory epithelial cell that is part of the respiratory tract.,409,5.0,,4.0,3,,RespiratoryEpithelialCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,deuterosomal cell,A specialized type of respiratory epithelial cell that is part of the respiratory tract epithelium.,410,5.0,,4.0,3,,RespiratoryEpithelialCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,deuterosomal cell,An epithelial cell that is part of the respiratory tract [Automatically generated definition].,411,5.0,,4.0,3,,RespiratoryEpithelialCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung migratory dendritic cell,A dendritic cell that has migrated to the lung.,412,5.0,,4.0,3,,DendriticCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung migratory dendritic cell,A dendritic cell that captures antigens in a lung and migrates to a lymph node or to the spleen to activate T cells.,413,5.0,,5.0,3,,DendriticCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung migratory dendritic cell,A dendritic cell that migrates into or within the lung.,414,5.0,,4.0,3,,DendriticCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung migratory dendritic cell,A dendritic cell that migrates within the lung.,415,5.0,,4.0,3,,DendriticCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung migratory dendritic cell,"A dendritic cell that originates, matures, and migrates within the lungs.",416,5.0,,4.0,3,,DendriticCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung migratory dendritic cell,"A lung migratory dendritic cell is a specialist antigen-presenting cell that resides in the lung tissue. It moves from the lung to the lymph nodes after intake of antigens, facilitating immune response. This cell is known for initiating adaptive immune responses and maintaining airway tolerance.",417,5.0,,5.0,3,,DendriticCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung migratory dendritic cell,A migratory dendritic cell that is found in the lung.,418,5.0,,4.0,3,,DendriticCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung migratory dendritic cell,A migratory dendritic cell that is part of the lung.,419,5.0,,4.0,3,,DendriticCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung migratory dendritic cell,A specialized type of dendritic cell that plays a crucial role in immune responses within the lungs. It is classified as a subclass of dendritic cells.,420,5.0,,5.0,3,,DendriticCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,lung migratory dendritic cell,A type of dendritic cell that is found in the lungs and has the ability to migrate.,421,5.0,,4.0,3,,DendriticCell,,cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,respiratory suprabasal cell,"A cell of the respiratory epithelium that has risen from basal cell position, but retain its ability to revert back to stem cell state in response to signals from its microenvironment.",422,5.0,,5.0,3,,RespiratoryEpithelialCell | ProgenitorCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'} | {'predicate': 'DevelopsFrom', 'target': 'RespiratoryBasalCell'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,respiratory suprabasal cell,"A respiratory epithelial cell with topographic nuclear position in between the basal and luminal cell of the airway epithelium. This non-basal, intermediate cell has limited proliferative capacity, ultrastructural features of basal cells and no defined features of the typically differentiated cellular phenotypes.",423,5.0,,5.0,3,,RespiratoryEpithelialCell | ProgenitorCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'} | {'predicate': 'DevelopsFrom', 'target': 'RespiratoryBasalCell'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,respiratory suprabasal cell,A cell that is part of the respiratory tract epithelium and develops from a respiratory basal cell. It is a subclass of respiratory epithelial cell and progenitor cell.,424,5.0,,5.0,3,,RespiratoryEpithelialCell | ProgenitorCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'} | {'predicate': 'DevelopsFrom', 'target': 'RespiratoryBasalCell'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,respiratory suprabasal cell,A respiratory epithelial cell that develops from a respiratory basal cell and is part of the epithelium of the respiratory tract.,425,5.0,,5.0,3,,RespiratoryEpithelialCell | ProgenitorCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'} | {'predicate': 'DevelopsFrom', 'target': 'RespiratoryBasalCell'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
cl,respiratory suprabasal cell,A respiratory suprabasal cell found in the epithelium of the respiratory tract.,426,5.0,,4.0,3,,RespiratoryEpithelialCell | ProgenitorCell,"{'predicate': 'PartOf', 'target': 'RespiratoryTractEpithelium'} | {'predicate': 'DevelopsFrom', 'target': 'RespiratoryBasalCell'}",cc8844298c08e2fb7ba75080b9fad6fbd23d63bf3534c713e87ad87cee8f5b57,
